순위,종목명,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
1,삼성전자,"183,900","하락 5,100",-2.70%,"7,622,544","1,406,847","10,886,214"
2,SK하이닉스,"958,000","하락 37,000",-3.72%,"957,692","923,081","6,827,689"
3,현대차,"494,000","하락 7,000",-1.40%,"199,142","98,574","1,011,503"
4,LG에너지솔루션,"389,500","하락 4,500",-1.14%,"53,861","21,033","911,430"
5,SK스퀘어,"576,500","하락 28,500",-4.71%,"116,106","67,750","761,482"
6,삼성바이오로직스,"1,599,000","상승 14,000",+0.88%,"5,701","9,145","740,192"
7,한화에어로스페이스,"1,401,000","상승 1,000",+0.07%,"35,494","49,977","722,403"
8,두산에너빌리티,"102,400",하락 200,-0.19%,"530,064","54,402","655,935"
9,기아,"155,500","하락 2,400",-1.52%,"193,430","30,129","607,092"
10,KB금융,"152,200","상승 2,800",+1.87%,"197,390","29,791","567,478"
